txn_id,txn_date,customer_id,account_id,product_id,amount,status,channel,is_fraud_flag
1,2025-06-10,438,292,12,36.72,SUCCESS,Mobile,0
2,2025-01-30,401,9,10,199.37,SUCCESS,Mobile,0
3,2025-08-04,396,720,3,15.17,SUCCESS,Mobile,0
4,2026-01-15,125,773,3,34.06,SUCCESS,Mobile,0
5,2025-08-30,90,755,8,66.65,SUCCESS,Web,0
6,2025-02-11,244,655,4,63.31,SUCCESS,Mobile,0
7,2025-05-10,195,511,1,48.37,SUCCESS,Mobile,0
8,2025-07-22,106,64,4,22.96,SUCCESS,Web,0
9,2025-06-03,459,495,6,15.06,SUCCESS,Mobile,0
10,2025-05-19,206,48,2,29.75,SUCCESS,Web,0
11,2025-04-29,71,167,12,61.93,FAILED,Mobile,0
12,2025-08-11,410,665,7,91.84,SUCCESS,Web,0
13,2025-07-03,357,720,1,35.39,FAILED,Web,0
14,2025-07-06,417,342,10,31.22,SUCCESS,Web,0
15,2025-09-08,428,370,9,37.53,SUCCESS,Mobile,0
16,2025-04-18,496,720,2,37.79,SUCCESS,Mobile,0
17,2025-10-10,32,225,9,67.49,SUCCESS,Mobile,0
18,2025-02-28,166,444,12,26.55,SUCCESS,Mobile,0
19,2025-06-30,212,375,1,30.85,SUCCESS,Mobile,0
20,2025-12-31,10,263,4,43.69,SUCCESS,Web,0
21,2025-07-28,335,146,5,22.66,SUCCESS,Web,0
22,2025-03-25,463,128,8,19.07,SUCCESS,Branch,0
23,2025-12-09,198,774,11,76.87,SUCCESS,Mobile,0
24,2025-12-09,247,625,11,32.64,SUCCESS,Web,0
25,2025-07-24,217,268,5,56.51,SUCCESS,API,0
26,2026-01-09,129,364,1,50.11,SUCCESS,Web,0
27,2025-05-28,198,673,1,14.51,SUCCESS,Web,0
28,2025-11-02,333,482,2,22.39,SUCCESS,API,0
29,2025-10-29,75,789,9,34.41,FAILED,API,0
30,2025-03-14,472,698,1,28.66,SUCCESS,Mobile,0
31,2025-06-15,468,210,3,38.35,SUCCESS,Web,0
32,2025-09-27,90,554,8,37.02,SUCCESS,Web,0
33,2025-02-28,281,222,11,53.06,SUCCESS,Web,0
34,2025-07-17,52,302,1,32.26,SUCCESS,API,0
35,2025-05-19,308,259,4,34.52,SUCCESS,Mobile,0
36,2025-10-01,12,53,11,13.98,SUCCESS,Branch,0
37,2025-07-07,46,62,8,23.09,SUCCESS,Web,0
38,2025-08-29,137,485,6,23.78,SUCCESS,Mobile,0
39,2025-03-19,301,403,6,25.37,SUCCESS,Web,0
40,2025-04-04,292,443,1,26.51,SUCCESS,Mobile,0
41,2025-05-02,137,318,7,47.46,SUCCESS,Mobile,0
42,2025-05-26,97,421,11,95.89,SUCCESS,API,0
43,2026-01-01,424,717,1,14.73,SUCCESS,Mobile,0
44,2025-04-02,162,399,3,29.37,SUCCESS,Web,0
45,2025-04-26,88,90,1,19.7,SUCCESS,Branch,0
46,2025-03-16,53,582,11,14.83,SUCCESS,API,0
47,2025-03-03,109,603,8,24.13,SUCCESS,Branch,0
48,2025-05-27,45,780,4,17.61,SUCCESS,Web,0
49,2025-07-16,382,496,5,38.08,SUCCESS,Web,0
50,2025-09-01,353,345,1,30.04,SUCCESS,Mobile,0
51,2026-01-01,161,434,1,27.69,SUCCESS,Web,0
52,2025-04-06,285,559,10,39.83,SUCCESS,API,0
53,2025-11-11,422,528,1,14.03,SUCCESS,Web,0
54,2025-05-01,304,366,11,18.03,FAILED,Mobile,0
55,2025-07-28,497,400,11,40.98,SUCCESS,Mobile,0
56,2025-07-26,461,195,11,17.92,FAILED,API,0
57,2025-08-29,82,234,12,9.73,SUCCESS,Branch,0
58,2025-05-27,315,599,3,86.61,SUCCESS,Web,0
59,2026-01-11,318,64,6,40.66,SUCCESS,Web,0
60,2025-12-12,255,478,5,60.93,SUCCESS,Mobile,0
61,2025-05-03,291,405,11,21.43,SUCCESS,Web,0
62,2025-03-21,431,702,10,14.45,SUCCESS,Web,0
63,2025-02-26,315,694,7,39.36,SUCCESS,Web,0
64,2025-01-30,187,594,1,17.1,SUCCESS,Mobile,0
65,2025-11-14,386,131,8,61.04,SUCCESS,Mobile,0
66,2025-03-29,89,437,5,38.21,SUCCESS,Mobile,0
67,2025-05-28,444,239,6,37.23,SUCCESS,API,0
68,2025-10-06,390,140,2,37.47,SUCCESS,API,0
69,2025-09-08,25,550,9,112.2,SUCCESS,Branch,0
70,2025-10-08,53,334,3,49.05,SUCCESS,API,0
71,2025-12-01,468,91,5,29.33,SUCCESS,Web,0
72,2025-03-31,380,146,10,35.95,SUCCESS,Mobile,0
73,2025-06-15,78,596,8,19.65,SUCCESS,Web,0
74,2025-08-04,114,675,1,24.18,SUCCESS,Mobile,0
75,2025-09-09,388,340,4,70.17,SUCCESS,Mobile,0
76,2025-07-11,456,198,5,33.97,SUCCESS,Mobile,0
77,2025-07-09,482,474,6,52.33,SUCCESS,Mobile,0
78,2025-02-15,348,455,3,19.42,SUCCESS,Web,0
79,2025-12-25,312,358,4,55.03,SUCCESS,Mobile,0
80,2025-12-04,258,273,3,29.41,SUCCESS,Mobile,0
81,2026-01-08,145,501,4,37.95,SUCCESS,Web,0
82,2025-05-08,196,70,7,34.34,SUCCESS,Web,0
83,2025-03-31,304,783,9,36.94,SUCCESS,Web,0
84,2025-10-03,482,9,9,31.01,SUCCESS,Mobile,0
85,2025-05-18,411,708,5,71.56,SUCCESS,Mobile,0
86,2025-11-01,467,3,6,13.42,SUCCESS,Web,0
87,2025-09-07,348,269,9,45.61,SUCCESS,Web,0
88,2025-11-18,102,352,4,22.17,SUCCESS,Mobile,0
89,2026-01-10,290,6,7,18.66,SUCCESS,API,0
90,2025-11-19,352,385,3,119.45,SUCCESS,Mobile,0
91,2026-01-16,169,234,9,18.72,SUCCESS,Mobile,0
92,2025-03-30,95,578,9,11.13,SUCCESS,Web,0
93,2025-07-21,262,96,10,58.76,FAILED,Mobile,0
94,2025-05-29,262,499,5,24.63,SUCCESS,API,0
95,2025-10-14,28,624,4,71.15,SUCCESS,Mobile,0
96,2025-06-21,136,125,11,8.58,SUCCESS,Mobile,0
97,2025-06-22,129,510,10,100.71,SUCCESS,Mobile,0
98,2025-10-05,336,553,10,58.33,FAILED,Web,0
99,2025-04-18,490,369,9,29.23,SUCCESS,Mobile,0
100,2025-06-25,467,7,5,11.71,SUCCESS,Mobile,0
101,2025-02-09,274,277,1,14.9,SUCCESS,Mobile,0
102,2025-12-23,222,209,2,21.87,SUCCESS,Web,0
103,2025-12-07,336,193,10,50.81,SUCCESS,Web,0
104,2025-02-28,481,160,7,19.74,FAILED,Web,0
105,2025-04-24,123,488,3,9.68,SUCCESS,Web,0
106,2025-12-14,92,608,1,37.97,SUCCESS,Mobile,0
107,2025-07-12,431,458,9,60.21,SUCCESS,Branch,0
108,2025-07-16,464,247,4,123.75,SUCCESS,Web,0
109,2025-03-04,11,6,3,17.9,SUCCESS,Mobile,0
110,2025-09-14,6,553,5,19.07,FAILED,Web,0
111,2025-06-20,398,33,1,5.49,SUCCESS,Web,0
112,2025-12-24,368,665,1,13.09,SUCCESS,Mobile,0
113,2025-03-22,228,280,11,17.47,SUCCESS,Mobile,0
114,2025-11-13,22,607,1,19.38,SUCCESS,Mobile,0
115,2025-08-29,488,755,7,24.04,SUCCESS,Branch,0
116,2025-09-17,215,106,12,47.23,SUCCESS,Mobile,0
117,2025-03-01,415,521,7,45.01,SUCCESS,Web,0
118,2025-02-06,284,605,9,24.33,SUCCESS,Mobile,0
119,2025-06-02,403,638,5,33.42,SUCCESS,Mobile,0
120,2025-12-11,115,67,2,14.66,SUCCESS,Mobile,1
121,2025-06-14,214,4,9,23.59,SUCCESS,Mobile,0
122,2026-01-19,385,54,4,15.25,SUCCESS,Mobile,0
123,2025-02-17,451,341,5,21.24,SUCCESS,Web,0
124,2025-10-19,456,134,1,100.83,SUCCESS,Web,0
125,2025-08-22,141,450,2,36.13,SUCCESS,Web,0
126,2025-07-13,179,45,8,23.18,SUCCESS,Mobile,0
127,2025-06-04,1,225,2,44.11,SUCCESS,Branch,0
128,2025-02-16,29,654,12,26.13,FAILED,API,0
129,2025-05-26,397,171,8,90.95,SUCCESS,Mobile,0
130,2025-11-19,298,450,1,40.92,SUCCESS,API,0
131,2025-05-24,285,367,9,16.5,SUCCESS,Mobile,0
132,2025-10-19,350,311,9,73.07,SUCCESS,Web,0
133,2025-12-30,400,677,11,48.02,SUCCESS,Mobile,0
134,2025-07-20,316,204,9,43.83,SUCCESS,Web,0
135,2026-01-22,105,497,6,54.37,SUCCESS,Web,0
136,2025-11-06,162,272,2,51.28,SUCCESS,Mobile,0
137,2025-08-18,40,785,1,45.02,SUCCESS,Web,1
138,2025-06-02,451,479,6,30.06,SUCCESS,Web,0
139,2025-07-31,349,251,4,57.05,SUCCESS,Web,0
140,2025-12-21,222,71,8,29.86,FAILED,API,0
141,2025-05-07,439,346,11,73.47,SUCCESS,API,0
142,2026-01-07,442,255,8,44.65,SUCCESS,API,0
143,2026-01-09,52,129,2,37.06,SUCCESS,Branch,0
144,2025-04-29,64,514,2,48.4,SUCCESS,Mobile,0
145,2025-05-20,482,351,4,36.41,SUCCESS,Mobile,0
146,2025-05-02,4,84,9,71.16,SUCCESS,Mobile,0
147,2025-07-11,432,357,11,58.52,SUCCESS,API,0
148,2025-06-19,456,123,6,34.6,SUCCESS,Mobile,0
149,2025-10-31,367,673,7,4.69,SUCCESS,Mobile,0
150,2025-12-03,496,307,3,55.58,SUCCESS,Mobile,0
151,2025-11-22,18,161,7,42.52,SUCCESS,Mobile,0
152,2025-03-16,342,515,3,142.07,SUCCESS,Mobile,0
153,2026-01-25,10,741,2,15.19,SUCCESS,Web,0
154,2025-02-25,371,572,12,29.05,SUCCESS,Mobile,0
155,2025-08-24,270,467,2,13.09,SUCCESS,Web,0
156,2025-06-04,435,684,9,21.4,SUCCESS,Branch,0
157,2025-02-04,374,378,7,84.33,SUCCESS,Web,0
158,2025-12-17,366,104,5,12.2,SUCCESS,Mobile,0
159,2025-03-20,351,480,11,14.36,SUCCESS,Branch,0
160,2025-05-04,99,133,3,46.9,SUCCESS,Web,0
161,2025-03-29,302,555,8,37.2,SUCCESS,Mobile,0
162,2025-09-05,194,229,11,27.18,SUCCESS,Web,0
163,2025-05-23,317,518,2,7.1,SUCCESS,Web,0
